SYNNR;NAME;BUNDESLAND;LÄNGE;BREITE;STATIONSHÖHE;BEGINNDATUM;ORDNUNG;LÄNGE DEZI;BREITE DEZI
11119;SEEFELD;TIR;111032;471929;1182;19970611;TAWES;11,17555523;47,32472229
11201;SILLIAN;TIR;122525;464447;1081;19960901;TAWES/VAMES;12,42361069;46,74638748
11069;SÖLL;TIR;121201;473011;697;20150701;TAWES;12,20027733;47,50305557
11311;ST.ANTON AM ARLBERG;TIR;101600;470753;1304;20070801;TAWES/VAMES;10,26666641;47,13138962
11300;ST.JAKOB/DEF.;TIR;122114;465501;1383;20070706;TAWES;12,35388851;46,9169426
11317;ST.LEONHARD/PITZTAL;TIR;105156;470138;1454;20071127;TAWES;10,86555576;47,02722168
11329;STEINACH AM BRENNER;TIR;112758;470554;1036;20071101;TAWES/VAMES;11,46611118;47,09833145
11111;TANNHEIM;TIR;103021;473001;1100;20080901;TAWES;10,50583363;47,50027847
11117;UMHAUSEN;TIR;105544;470821;1035;20030701;TAWES;10,92888832;47,13916779
11124;VALLUGA;TIR;101246;470927;2805;20110201;TAWES;10,21277809;47,15750122
11252;VIRGEN;TIR;122721;470010;1212;19920901;TAWES;12,45583344;47,0027771
11301;ALBERSCHWENDE;VBG;95055;472727;715;19951101;TAWES;9,848610878;47,45750046
11099;BLUDENZ;VBG;94946;470852;571;20150916;TAWES;9,829443932;47,14777756
11304;BRAND;VBG;94418;470611;1029;20010601;TAWES;9,738332748;47,10305405
11101;BREGENZ;VBG;94446;472957;424;19930101;TAWES/VAMES;9,746110916;47,49916458
11302;DORNBIRN;VBG;94332;472557;407;19920401;TAWES;9,725554466;47,43249893
11105;FELDKIRCH;VBG;93635;471616;438;19931001;TAWES/VAMES;9,609722137;47,27111053
11104;FRAXERN;VBG;94028;471851;807;20030716;TAWES;9,674444199;47,31416702
11108;GASCHURN ;VBG;100154;465849;985;20200901;TAWES;10,0316666;46,9802778
11307;LANGEN AM ARLBERG;VBG;100724;470754;1221;20070801;TAWES;10,12333298;47,13166428
11251;LATERNS-GAPFOHL;VBG;94536;471630;1559;20130124;Ö3;9,760000229;47,27499771
11253;LECH AM ARLBERG;VBG;100827;471236;1442;20131201;TAWES;10,1408329;47,20999908
11187;MITTELBERG;VBG;100909;471924;1204;20090601;TAWES;10,15250015;47,32333374
11299;ROHRSPITZ;VBG;93748;472950;395;20080723;TAWES;9,629999161;47,4972229
11303;SCHOPPERNAU;VBG;100104;471841;839;20070801;TAWES;10,01777744;47,31138992
11306;SCHRÖCKEN;VBG;100510;471542;1244;20071201;TAWES;10,08611107;47,26166534
11100;SULZBERG;VBG;95452;473119;1016;20080901;TAWES;9,91444397;47,5219421
11308;WARTH;VBG;101110;471521;1478;19841201;TAWES;10,1861105;47,25583267
11090;WIEN-DONAUFELD;WIE;162553;481526;160;19960701;TAWES;16,43138885;48,25722122
11035;WIEN-HOHE WARTE;WIE;162123;481455;198;19910401;TAWES/VAMES;16,35638809;48,24861145
11034;WIEN-INNERE STADT;WIE;162201;481154;177;19850101;TAWES;16,36694336;48,19833374
11044;WIEN-JUBILÄUMSWARTE;WIE;161555;481316;450;20090831;TAWES;16,26527786;48,2211113
11080;WIEN-MARIABRUNN;WIE;161346;481225;225;19970116;TAWES;16,2294445;48,20694351
11042;WIEN-STAMMERSDORF;WIE;162420;481821;191;20081209;TAWES;16,40555573;48,30583191
11040;WIEN-UNTERLAA;WIE;162510;480730;200;19960101;TAWES;16,41944313;48,125
